model,intervention,n_test,sim_paraphrase,sim_negation,cosine_gap,nevir_rank,sts_pearson,sts_spearman
multilingual-e5,baseline,151,0.9628813022019848,0.9407732332779082,0.022108068924076574,0.8013245033112583,,
labse,baseline,151,0.88994237997674,0.8243083014393484,0.06563407853739156,0.7947019867549668,,
alephbert-sentence,baseline,151,0.8705538688905982,0.8901391345144107,-0.019585265623812576,0.4966887417218543,,
sambert,baseline,151,0.8786513280394851,0.8956069433136492,-0.016955615274164115,0.5033112582781457,,
